Age,Workforce,Worked Hours Week,Worked Days Week,Monthly Wage
15,131468683,4.63159372335083,0.7395770443672885,244.512767804938
16,128310547,6.886524885596505,1.0192049995703003,408.3974513100626
17,127199074,9.426680653351298,1.3312132445240914,622.2978476871616
18,130378728,14.114355157691062,1.8679050926160286,1020.2479370484424
19,121235426,17.921177032858367,2.301320482018185,1375.6360054609781
20,119269179,20.061815316092684,2.53866270010964,1611.6514854940017
21,115729315,21.335150847475422,2.690980249904702,1785.5745446173253
22,115511328,23.19950282278808,2.901332594842992,1997.415258051574
23,114528221,25.536640056602295,3.1683257701173932,2302.031410328115
24,108757317,27.35053647930649,3.376449402480203,2566.5028108499587
25,107335062,28.626520819450405,3.5214738777530123,2784.000666361939
26,103964488,29.175613773041427,3.5880228160215633,2937.6175065566617
27,101368846,29.81542528362215,3.6546512821108768,3099.546384043871
28,101572014,30.267044050145547,3.6966199764435115,3180.1513168775014
29,95023006,30.317179925880264,3.708810843134135,3317.0768213120937
30,103970424,30.58375059622725,3.7325852686721754,3305.1673754932463
31,95978372,30.37082337674992,3.7198311615454367,3342.4967487362674
32,94253799,30.67616376927152,3.7574210138734037,3417.5814475021853
33,96854458,30.688310258264003,3.7610061170338693,3429.5214527038083
34,92549094,30.548725620155718,3.745853092846052,3452.305499500622
35,95193320,30.55876366114765,3.75504683521911,3404.612145516093
36,97262306,30.702305413157692,3.773498903059115,3440.9952808953553
37,92849555,31.00485334582379,3.811418816169878,3471.736647418504
38,96056242,31.00705856262834,3.802694113309159,3419.8896795067208
39,94940370,31.181988905246524,3.8241964824868493,3490.5497674171693
40,103361001,31.26733361454191,3.8390475823661965,3412.84063632472
41,93498847,30.92545249247833,3.800944561380527,3422.6523797988652
42,91523303,31.073785601902937,3.8228097493378272,3516.040443339332
43,94441564,31.07282629288096,3.8231477720974634,3473.3179249128066
44,85356597,30.672326522108186,3.7762263296415157,3417.8732317667254
45,88983739,30.688899047049485,3.787446580548835,3404.932434115856
46,87624689,30.51757525781347,3.7705511970490417,3423.0234153755455
47,81656455,30.189387477083105,3.7400557126806446,3395.3809444091103
48,83207571,29.947188892222318,3.7120617906272013,3362.192302092318
49,81098326,29.423810794812212,3.6666887180877197,3302.257970293986
50,89147692,29.146941639274296,3.623075491399149,3171.851585142552
51,78625177,28.619783533205908,3.568351941516138,3188.3033330023536
52,73106989,28.021152327857465,3.503892480102005,3132.674453861039
53,74957007,27.404853478207848,3.4397362744219495,3034.625936265038
54,71486672,26.75365413569679,3.3595478748821876,2875.795015747831
55,69617899,26.2010839338889,3.292817727808764,2750.8655787644498
56,67829513,25.395309310270296,3.206776112339182,2682.8034910260967
57,62657772,24.607471073181472,3.135075821080903,2601.6901367638798
58,59694714,23.57481148163303,3.01131924344256,2462.61776317414
59,56973088,22.806558370155397,2.9253528964412108,2351.6768107075395
60,61238765,20.78102580938724,2.6913016779486,2039.0708727388608
61,53348000,18.93749141486091,2.4896917597660644,1852.9351672789983
62,48392597,17.925113173818715,2.3659125588982133,1745.346405980237
63,50043252,17.15762540771731,2.28903307482895,1633.1759471187045
64,46991022,16.164072745640645,2.178024006372962,1488.3360002257452
