cve_ent,ent,anio,pob_tot,i_analf,i_asistesc,i_edbasinc,i_sdsalud,i_ptierra,i_nosan,i_noagua,i_nodren,i_noelec,i_nolav,i_noref,irs,grs,lugar
04,Campeche,2015,899931,6.64991,4.45301,35.5191,11.9295,3.09035,4.93678,6.37622,7.63485,1.87998,24.6156,17.4058,0.3041175,Alto,9
05,Coahuila,2015,2954915,1.96933,3.08563,27.2352,14.0677,0.72769,1.26261,1.76541,2.39696,0.40592,15.5418,4.57162,-1.064973,Muy bajo,30
06,Colima,2015,711235,3.88012,4.08111,33.5014,12.1101,2.29484,0.98371,1.08506,0.7323,0.56129,26.6401,7.71232,-0.6576504,Bajo,26
07,Chiapas,2015,5217908,14.84,6.90092,53.2459,17.2797,10.621,3.57819,12.6532,10.9265,2.32751,59.8666,37.5957,2.387669,Muy alto,3
08,Chihuahua,2015,3556574,2.64982,3.97083,32.5688,11.3566,1.56078,1.82712,2.27769,4.18013,1.63668,16.1024,6.30365,-0.5871851,Bajo,24
09,Distrito Federal,2015,8918653,1.47507,2.19301,20.3636,20.7771,0.41744,0.72194,0.96824,0.16534,0.0504,18.1088,6.61344,-1.313332,Muy bajo,31
10,Durango,2015,1754754,3.15383,3.62082,33.7893,16.0943,3.66478,4.17554,2.85621,7.15675,2.21606,26.4651,10.8972,-0.0325487,Medio,12
11,Guanajuato,2015,5853677,6.34907,4.01119,41.5346,14.7101,1.94216,4.24758,3.9674,5.6016,0.77268,24.6417,10.8573,-0.0584027,Medio,13
12,Guerrero,2015,3533251,13.6135,4.14453,48.1491,14.9828,13.8789,12.9836,15.1357,16.2771,2.47811,58.1988,22.4612,2.45145,Muy alto,2
13,Hidalgo,2015,2858359,8.19686,2.05348,35.7065,17.3124,3.28002,4.31772,5.93514,8.63504,1.40495,46.7399,22.7812,0.4495519,Alto,8
14,Jalisco,2015,7844830,3.52447,4.20973,35.7569,18.8329,1.42875,1.39219,1.70792,1.20967,0.36889,17.8609,5.89887,-0.6917049,Bajo,27
15,México,2015,16187608,3.33707,2.44679,29.6794,20.6279,1.81366,2.44479,3.75946,3.35007,0.4131,30.5918,16.6958,-0.4795274,Bajo,22
16,Michoacán,2015,4584471,8.27453,5.22899,48.5279,25.5921,5.51933,3.20023,4.17717,6.96821,0.90982,31.4357,14.9447,0.6252466,Alto,6
17,Morelos,2015,1903811,4.9552,3.7303,32.278,15.5271,3.7066,1.90368,5.62803,2.38557,0.56548,36.7481,11.7742,-0.2088349,Bajo,16
18,Nayarit,2015,1181050,5.03596,3.49633,34.0586,16.0806,3.22625,4.43057,3.90705,4.63686,2.06764,28.3735,12.1872,0.0126394,Medio,11
19,Nuevo León,2015,5119504,1.62629,2.09956,23.7141,11.4817,0.80349,0.74329,1.39745,1.58287,0.16856,12.4554,3.66971,-1.360326,Muy bajo,32
20,Oaxaca,2015,3967889,13.5349,3.72678,51.3793,17.1842,13.0481,3.39596,12.8178,23.903,3.16224,58.6045,34.9598,2.539013,Muy alto,1
21,Puebla,2015,6168883,8.33223,4.1303,43.6178,19.7943,5.49559,2.38255,6.64574,8.2496,1.01402,47.8611,31.1724,0.8834226,Alto,5
22,Querétaro,2015,2038372,4.53572,2.84938,31.4954,13.7323,1.50919,3.7742,3.15819,4.19587,0.77043,29.747,11.8267,-0.4259123,Bajo,20
23,Quintana Roo,2015,1501562,3.87162,3.36079,28.3852,18.8062,2.13735,2.27788,2.5927,2.52924,1.18586,28.1045,15.9195,-0.3961296,Bajo,19
